"date","adeno_A_0_9","adeno_A_10_19","adeno_A_20_29","adeno_A_30_39","adeno_A_40_49","adeno_A_50_59","adeno_A_60_69","adeno_A_70_79","adeno_A_80_89","adeno_A_90_99","adeno_B_0_9","adeno_B_10_19","adeno_B_20_29","adeno_B_30_39","adeno_B_40_49","adeno_B_50_59","adeno_B_60_69","adeno_B_70_79","adeno_B_80_89","adeno_B_90_99","rna_A_0_9","rna_A_10_19","rna_A_20_29","rna_A_30_39","rna_A_40_49","rna_A_50_59","rna_A_60_69","rna_A_70_79","rna_A_80_89","rna_A_90_99","rna_B_0_9","rna_B_10_19","rna_B_20_29","rna_B_30_39","rna_B_40_49","rna_B_50_59","rna_B_60_69","rna_B_70_79","rna_B_80_89","rna_B_90_99","rna_E_0_9","rna_E_10_19","rna_E_20_29","rna_E_30_39","rna_E_40_49","rna_E_50_59","rna_E_60_69","rna_E_70_79","rna_E_80_89","rna_E_90_99","rna_F_0_9","rna_F_10_19","rna_F_20_29","rna_F_30_39","rna_F_40_49","rna_F_50_59","rna_F_60_69","rna_F_70_79","rna_F_80_89","rna_F_90_99","rna_X_0_9","rna_X_10_19","rna_X_20_29","rna_X_30_39","rna_X_40_49","rna_X_50_59","rna_X_60_69","rna_X_70_79","rna_X_80_89","rna_X_90_99"
2021-01-09,0,0,0.174723549529528,0.602822675425233,1.9567132871119,1.84655258477158,0.419187903161763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,25.490996592132,43.0219618049727,50.8299173075018,66.9552928467908,47.135473251981,98.0218688638785,366.809183835545,118.235305497199,0,0,0,0.351697483303173,0.321728467903493,0.0765740487933343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-09,0,0,0.174723549529528,0.602822675425233,1.9567132871119,1.84655258477158,0.419187903161763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,25.490996592132,43.0219618049727,50.8299173075018,66.9552928467908,47.135473251981,98.0218688638785,366.809183835545,118.235305497199,0,0,0,0.351697483303173,0.321728467903493,0.0765740487933343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-09,0,0,0.174723549529528,0.602822675425233,1.9567132871119,1.84655258477158,0.419187903161763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,25.490996592132,43.0219618049727,50.8299173075018,66.9552928467908,47.135473251981,98.0218688638785,366.809183835545,118.235305497199,0,0,0,0.351697483303173,0.321728467903493,0.0765740487933343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-09,0,0,0.174723549529528,0.602822675425233,1.9567132871119,1.84655258477158,0.419187903161763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,25.490996592132,43.0219618049727,50.8299173075018,66.9552928467908,47.135473251981,98.0218688638785,366.809183835545,118.235305497199,0,0,0,0.351697483303173,0.321728467903493,0.0765740487933343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,0,0,0.349447099059055,0.150552900940944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.96753583729725,7.30792641225035,11.0692612619924,13.2723146610581,8.35663525050017,11.2975928706332,49.2964181636055,16.1823155426631,0,0,0.349447099059055,0.150552900940944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,0,0,0.349447099059055,0.150552900940944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.96753583729725,7.30792641225035,11.0692612619924,13.2723146610581,8.35663525050017,11.2975928706332,49.2964181636055,16.1823155426631,0,0,0.349447099059055,0.150552900940944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,0,0,0.349447099059055,0.150552900940944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.96753583729725,7.30792641225035,11.0692612619924,13.2723146610581,8.35663525050017,11.2975928706332,49.2964181636055,16.1823155426631,0,0,0.349447099059055,0.150552900940944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,0,0,0.349447099059055,0.150552900940944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.96753583729725,7.30792641225035,11.0692612619924,13.2723146610581,8.35663525050017,11.2975928706332,49.2964181636055,16.1823155426631,0,0,0.349447099059055,0.150552900940944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,0,0,0.349447099059056,0.50225038424412,0.495154419110158,0.333283447059708,0.79658363869592,0.27328101183104,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,65.8362593989785,87.820985078896,112.688601369425,147.246311282836,98.0018454647903,172.51385300526,562.15790434528,178.984240054535,0,0,0.524170648588583,0.57752683471459,0.495154419110158,0.333283447059708,0.61490389165368,0.204960758873281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,0,0,0.349447099059056,0.50225038424412,0.495154419110158,0.333283447059708,0.79658363869592,0.27328101183104,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,65.8362593989785,87.820985078896,112.688601369425,147.246311282836,98.0018454647903,172.51385300526,562.15790434528,178.984240054535,0,0,0.524170648588583,0.57752683471459,0.495154419110158,0.333283447059708,0.61490389165368,0.204960758873281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
