Date,NEW_IN
1 juin 2022,62
2 juin 2022,55
3 juin 2022,56
4 juin 2022,51
5 juin 2022,37
6 juin 2022,47
7 juin 2022,61
8 juin 2022,71
9 juin 2022,69
10 juin 2022,64
11 juin 2022,61
12 juin 2022,46
13 juin 2022,57
14 juin 2022,81
15 juin 2022,78
16 juin 2022,80
17 juin 2022,62
18 juin 2022,84
19 juin 2022,74
20 juin 2022,81
21 juin 2022,131
22 juin 2022,98
23 juin 2022,95
24 juin 2022,108
25 juin 2022,112
26 juin 2022,79
27 juin 2022,95
28 juin 2022,118
29 juin 2022,130
30 juin 2022,124
1 juil. 2022,135
2 juil. 2022,140
3 juil. 2022,103
4 juil. 2022,102
5 juil. 2022,174
6 juil. 2022,159
7 juil. 2022,168
8 juil. 2022,157
9 juil. 2022,128
10 juil. 2022,125
11 juil. 2022,140
12 juil. 2022,215
13 juil. 2022,160
14 juil. 2022,182
15 juil. 2022,156
16 juil. 2022,179
17 juil. 2022,142
18 juil. 2022,117
19 juil. 2022,185
20 juil. 2022,184
21 juil. 2022,167
22 juil. 2022,149
23 juil. 2022,166
24 juil. 2022,136
25 juil. 2022,151
26 juil. 2022,191
27 juil. 2022,130
28 juil. 2022,136
29 juil. 2022,106
30 juil. 2022,124
31 juil. 2022,103
1 août 2022,122
2 août 2022,154
3 août 2022,114
4 août 2022,116
5 août 2022,119
6 août 2022,92
7 août 2022,86
8 août 2022,72
9 août 2022,126
10 août 2022,107
11 août 2022,95
12 août 2022,102
13 août 2022,87
14 août 2022,74
15 août 2022,77
16 août 2022,75
17 août 2022,120
18 août 2022,83
19 août 2022,86
20 août 2022,79
21 août 2022,42
22 août 2022,72
23 août 2022,80
24 août 2022,68
25 août 2022,75
26 août 2022,73
27 août 2022,48
28 août 2022,47
29 août 2022,59
30 août 2022,61
31 août 2022,64
1 sept. 2022,62
2 sept. 2022,59
3 sept. 2022,58
4 sept. 2022,51
5 sept. 2022,54
6 sept. 2022,70
7 sept. 2022,70
8 sept. 2022,55
9 sept. 2022,58
10 sept. 2022,46
11 sept. 2022,41
12 sept. 2022,61
13 sept. 2022,57
14 sept. 2022,73
15 sept. 2022,55
16 sept. 2022,63
17 sept. 2022,45
18 sept. 2022,28
19 sept. 2022,43
20 sept. 2022,77
21 sept. 2022,70
22 sept. 2022,86
23 sept. 2022,66
24 sept. 2022,99
25 sept. 2022,46
26 sept. 2022,70
27 sept. 2022,102
28 sept. 2022,101
29 sept. 2022,102
30 sept. 2022,116
1 oct. 2022,99
2 oct. 2022,61
3 oct. 2022,80
4 oct. 2022,140
5 oct. 2022,115
6 oct. 2022,119
7 oct. 2022,130
8 oct. 2022,120
9 oct. 2022,68
10 oct. 2022,90
11 oct. 2022,128
12 oct. 2022,121
13 oct. 2022,122
14 oct. 2022,124
15 oct. 2022,103
16 oct. 2022,54
17 oct. 2022,106
18 oct. 2022,161
19 oct. 2022,114
20 oct. 2022,116
21 oct. 2022,110
22 oct. 2022,85
23 oct. 2022,55
24 oct. 2022,78
25 oct. 2022,100
26 oct. 2022,80
27 oct. 2022,74
28 oct. 2022,76
29 oct. 2022,61
30 oct. 2022,43
31 oct. 2022,40
1 nov. 2022,53
2 nov. 2022,56
3 nov. 2022,58
4 nov. 2022,50
5 nov. 2022,52
6 nov. 2022,35
7 nov. 2022,41
8 nov. 2022,61
9 nov. 2022,81
10 nov. 2022,68
11 nov. 2022,47
12 nov. 2022,40
13 nov. 2022,25
14 nov. 2022,51
15 nov. 2022,38
16 nov. 2022,46
17 nov. 2022,52
18 nov. 2022,68
19 nov. 2022,41
20 nov. 2022,34
21 nov. 2022,36
22 nov. 2022,71
23 nov. 2022,58
24 nov. 2022,74
25 nov. 2022,76
26 nov. 2022,63
27 nov. 2022,38
28 nov. 2022,61
29 nov. 2022,99
30 nov. 2022,78
1 déc. 2022,84
2 déc. 2022,70
3 déc. 2022,78
4 déc. 2022,63
5 déc. 2022,70
6 déc. 2022,112
7 déc. 2022,83
8 déc. 2022,109
9 déc. 2022,103
10 déc. 2022,116
11 déc. 2022,73
12 déc. 2022,98
13 déc. 2022,130
14 déc. 2022,139
15 déc. 2022,142
16 déc. 2022,158
17 déc. 2022,133
18 déc. 2022,90
19 déc. 2022,93
20 déc. 2022,153
21 déc. 2022,176
22 déc. 2022,134
23 déc. 2022,163
24 déc. 2022,100
25 déc. 2022,113
26 déc. 2022,94
27 déc. 2022,131
28 déc. 2022,158
29 déc. 2022,140
30 déc. 2022,114
31 déc. 2022,108
1 janv. 2023,56
2 janv. 2023,74
3 janv. 2023,93
4 janv. 2023,92
5 janv. 2023,78
6 janv. 2023,60
7 janv. 2023,77
8 janv. 2023,43
9 janv. 2023,54
10 janv. 2023,76
11 janv. 2023,71
12 janv. 2023,47
13 janv. 2023,53
14 janv. 2023,56
15 janv. 2023,36
16 janv. 2023,50
17 janv. 2023,72
18 janv. 2023,52
19 janv. 2023,34
20 janv. 2023,52
21 janv. 2023,40
22 janv. 2023,26
23 janv. 2023,41
24 janv. 2023,60
25 janv. 2023,52
26 janv. 2023,44
27 janv. 2023,58
28 janv. 2023,64
29 janv. 2023,37
30 janv. 2023,60
31 janv. 2023,69
1 févr. 2023,67
2 févr. 2023,73
3 févr. 2023,57
4 févr. 2023,66
5 févr. 2023,50
6 févr. 2023,57
7 févr. 2023,86
8 févr. 2023,85
9 févr. 2023,72
10 févr. 2023,103
11 févr. 2023,85
12 févr. 2023,72
13 févr. 2023,84
14 févr. 2023,105
15 févr. 2023,100
16 févr. 2023,107
17 févr. 2023,107
18 févr. 2023,134
19 févr. 2023,84
20 févr. 2023,90
21 févr. 2023,151
22 févr. 2023,133
23 févr. 2023,138
24 févr. 2023,124
25 févr. 2023,150
26 févr. 2023,84
27 févr. 2023,91
28 févr. 2023,153
1 mars 2023,174
2 mars 2023,135
3 mars 2023,133
4 mars 2023,147
5 mars 2023,105
6 mars 2023,151
7 mars 2023,202
8 mars 2023,196
9 mars 2023,144
10 mars 2023,170
11 mars 2023,202
12 mars 2023,119
13 mars 2023,136
14 mars 2023,222
15 mars 2023,182
16 mars 2023,176
17 mars 2023,152
18 mars 2023,175
19 mars 2023,119
20 mars 2023,116
21 mars 2023,166
22 mars 2023,151
23 mars 2023,175
24 mars 2023,153
25 mars 2023,135
26 mars 2023,102
27 mars 2023,109
28 mars 2023,140
29 mars 2023,137
30 mars 2023,101
31 mars 2023,142
1 avr. 2023,127
2 avr. 2023,64
3 avr. 2023,69
4 avr. 2023,111
5 avr. 2023,95
6 avr. 2023,106
7 avr. 2023,89
8 avr. 2023,102
9 avr. 2023,60
10 avr. 2023,71
11 avr. 2023,82
12 avr. 2023,114
13 avr. 2023,83
14 avr. 2023,71
15 avr. 2023,84
16 avr. 2023,42
17 avr. 2023,56
18 avr. 2023,81
19 avr. 2023,75
20 avr. 2023,61
21 avr. 2023,62
22 avr. 2023,68
23 avr. 2023,45
24 avr. 2023,44
25 avr. 2023,67
26 avr. 2023,63
27 avr. 2023,49
28 avr. 2023,49
29 avr. 2023,50
30 avr. 2023,35
1 mai 2023,33
2 mai 2023,48
3 mai 2023,48
4 mai 2023,59
5 mai 2023,44
6 mai 2023,56
7 mai 2023,37
8 mai 2023,40
9 mai 2023,42
10 mai 2023,59
11 mai 2023,36
12 mai 2023,35
13 mai 2023,39
14 mai 2023,19
15 mai 2023,24
16 mai 2023,55
17 mai 2023,71
18 mai 2023,53
19 mai 2023,49
20 mai 2023,55
21 mai 2023,26
22 mai 2023,36
23 mai 2023,54
24 mai 2023,41
25 mai 2023,42
26 mai 2023,33
27 mai 2023,30
28 mai 2023,30
29 mai 2023,22
30 mai 2023,23
31 mai 2023,34
1 juin 2023,45
2 juin 2023,31
3 juin 2023,39
4 juin 2023,22
5 juin 2023,30
6 juin 2023,30
7 juin 2023,35
8 juin 2023,27
9 juin 2023,24
10 juin 2023,33
11 juin 2023,20
12 juin 2023,27
13 juin 2023,19
14 juin 2023,21
15 juin 2023,17
16 juin 2023,13
17 juin 2023,21
18 juin 2023,9
19 juin 2023,18
20 juin 2023,13
21 juin 2023,16
22 juin 2023,12
23 juin 2023,16
24 juin 2023,9
25 juin 2023,4
26 juin 2023,11
27 juin 2023,8
