Date,NEW_IN
16 août 2022,118
17 août 2022,204
18 août 2022,151
19 août 2022,149
20 août 2022,127
21 août 2022,119
22 août 2022,122
23 août 2022,131
24 août 2022,139
25 août 2022,142
26 août 2022,133
27 août 2022,80
28 août 2022,81
29 août 2022,106
30 août 2022,120
31 août 2022,122
1 sept. 2022,109
2 sept. 2022,101
3 sept. 2022,104
4 sept. 2022,67
5 sept. 2022,93
6 sept. 2022,112
7 sept. 2022,134
8 sept. 2022,116
9 sept. 2022,104
10 sept. 2022,85
11 sept. 2022,65
12 sept. 2022,89
13 sept. 2022,109
14 sept. 2022,123
15 sept. 2022,105
16 sept. 2022,103
17 sept. 2022,95
18 sept. 2022,49
19 sept. 2022,83
20 sept. 2022,130
21 sept. 2022,129
22 sept. 2022,135
23 sept. 2022,119
24 sept. 2022,154
25 sept. 2022,81
26 sept. 2022,132
27 sept. 2022,205
28 sept. 2022,191
29 sept. 2022,181
30 sept. 2022,195
1 oct. 2022,160
2 oct. 2022,120
3 oct. 2022,166
4 oct. 2022,238
5 oct. 2022,230
6 oct. 2022,227
7 oct. 2022,229
8 oct. 2022,197
9 oct. 2022,120
10 oct. 2022,165
11 oct. 2022,218
12 oct. 2022,235
13 oct. 2022,225
14 oct. 2022,222
15 oct. 2022,167
16 oct. 2022,88
17 oct. 2022,180
18 oct. 2022,280
19 oct. 2022,206
20 oct. 2022,201
21 oct. 2022,194
22 oct. 2022,161
23 oct. 2022,100
24 oct. 2022,142
25 oct. 2022,189
26 oct. 2022,144
27 oct. 2022,142
28 oct. 2022,148
29 oct. 2022,106
30 oct. 2022,77
31 oct. 2022,89
1 nov. 2022,107
2 nov. 2022,80
3 nov. 2022,106
4 nov. 2022,90
5 nov. 2022,108
6 nov. 2022,55
7 nov. 2022,81
8 nov. 2022,127
9 nov. 2022,136
10 nov. 2022,125
11 nov. 2022,77
12 nov. 2022,62
13 nov. 2022,45
14 nov. 2022,102
15 nov. 2022,90
16 nov. 2022,86
17 nov. 2022,94
18 nov. 2022,116
19 nov. 2022,84
20 nov. 2022,57
21 nov. 2022,81
22 nov. 2022,128
23 nov. 2022,114
24 nov. 2022,138
25 nov. 2022,141
26 nov. 2022,134
27 nov. 2022,92
28 nov. 2022,111
29 nov. 2022,194
30 nov. 2022,153
1 déc. 2022,162
2 déc. 2022,167
3 déc. 2022,136
4 déc. 2022,105
5 déc. 2022,132
6 déc. 2022,210
7 déc. 2022,183
8 déc. 2022,196
9 déc. 2022,208
10 déc. 2022,218
11 déc. 2022,130
12 déc. 2022,201
13 déc. 2022,247
14 déc. 2022,283
15 déc. 2022,282
16 déc. 2022,299
17 déc. 2022,240
18 déc. 2022,160
19 déc. 2022,215
20 déc. 2022,294
21 déc. 2022,312
22 déc. 2022,266
23 déc. 2022,290
24 déc. 2022,198
25 déc. 2022,177
26 déc. 2022,155
27 déc. 2022,242
28 déc. 2022,274
29 déc. 2022,235
30 déc. 2022,190
31 déc. 2022,172
1 janv. 2023,113
2 janv. 2023,139
3 janv. 2023,172
4 janv. 2023,154
5 janv. 2023,142
6 janv. 2023,133
7 janv. 2023,137
8 janv. 2023,75
9 janv. 2023,96
10 janv. 2023,134
11 janv. 2023,121
12 janv. 2023,85
13 janv. 2023,104
14 janv. 2023,101
15 janv. 2023,54
16 janv. 2023,84
17 janv. 2023,108
18 janv. 2023,105
19 janv. 2023,78
20 janv. 2023,96
21 janv. 2023,66
22 janv. 2023,46
23 janv. 2023,83
24 janv. 2023,104
25 janv. 2023,103
26 janv. 2023,113
27 janv. 2023,122
28 janv. 2023,107
29 janv. 2023,66
30 janv. 2023,100
31 janv. 2023,133
1 févr. 2023,128
2 févr. 2023,133
3 févr. 2023,134
4 févr. 2023,122
5 févr. 2023,89
6 févr. 2023,110
7 févr. 2023,169
8 févr. 2023,158
9 févr. 2023,142
10 févr. 2023,178
11 févr. 2023,143
12 févr. 2023,115
13 févr. 2023,169
14 févr. 2023,209
15 févr. 2023,210
16 févr. 2023,195
17 févr. 2023,198
18 févr. 2023,199
19 févr. 2023,158
20 févr. 2023,211
21 févr. 2023,248
22 févr. 2023,238
23 févr. 2023,219
24 févr. 2023,232
25 févr. 2023,245
26 févr. 2023,136
27 févr. 2023,174
28 févr. 2023,273
1 mars 2023,290
2 mars 2023,243
3 mars 2023,229
4 mars 2023,249
5 mars 2023,186
6 mars 2023,245
7 mars 2023,352
8 mars 2023,354
9 mars 2023,281
10 mars 2023,320
11 mars 2023,319
12 mars 2023,197
13 mars 2023,262
14 mars 2023,371
15 mars 2023,326
16 mars 2023,176
17 mars 2023,152
18 mars 2023,175
19 mars 2023,119
20 mars 2023,116
21 mars 2023,166
22 mars 2023,151
23 mars 2023,175
24 mars 2023,153
25 mars 2023,135
26 mars 2023,102
27 mars 2023,109
28 mars 2023,140
29 mars 2023,137
30 mars 2023,101
31 mars 2023,142
1 avr. 2023,127
2 avr. 2023,64
3 avr. 2023,69
4 avr. 2023,111
5 avr. 2023,95
6 avr. 2023,106
7 avr. 2023,89
8 avr. 2023,102
9 avr. 2023,60
10 avr. 2023,71
11 avr. 2023,82
12 avr. 2023,114
13 avr. 2023,83
14 avr. 2023,71
15 avr. 2023,84
16 avr. 2023,42
17 avr. 2023,56
18 avr. 2023,81
19 avr. 2023,75
20 avr. 2023,61
21 avr. 2023,62
22 avr. 2023,68
23 avr. 2023,45
24 avr. 2023,44
25 avr. 2023,67
26 avr. 2023,63
27 avr. 2023,49
28 avr. 2023,49
29 avr. 2023,50
30 avr. 2023,35
1 mai 2023,33
2 mai 2023,48
3 mai 2023,48
4 mai 2023,59
5 mai 2023,44
6 mai 2023,56
7 mai 2023,37
8 mai 2023,40
9 mai 2023,42
10 mai 2023,59
11 mai 2023,36
12 mai 2023,35
13 mai 2023,39
14 mai 2023,19
15 mai 2023,24
16 mai 2023,55
17 mai 2023,71
18 mai 2023,53
19 mai 2023,49
20 mai 2023,55
21 mai 2023,26
22 mai 2023,36
23 mai 2023,54
24 mai 2023,41
25 mai 2023,42
26 mai 2023,33
27 mai 2023,30
28 mai 2023,30
29 mai 2023,22
30 mai 2023,23
31 mai 2023,34
1 juin 2023,45
2 juin 2023,31
3 juin 2023,39
4 juin 2023,22
5 juin 2023,30
6 juin 2023,30
7 juin 2023,35
8 juin 2023,27
9 juin 2023,24
10 juin 2023,33
11 juin 2023,20
12 juin 2023,27
13 juin 2023,19
14 juin 2023,21
15 juin 2023,17
16 juin 2023,13
17 juin 2023,21
18 juin 2023,9
19 juin 2023,18
20 juin 2023,13
21 juin 2023,16
22 juin 2023,12
23 juin 2023,16
24 juin 2023,9
25 juin 2023,4
26 juin 2023,11
27 juin 2023,8
